Retriever,Retrieval Hit@K,Exact Match,F1,BLEU,ROUGE-L,Semantic Similarity,Num Claims,Supported Claims,Unsupported Claims,Contradicted Claims,Faithfulness,Extrinsic Hallucination Rate,Intrinsic Hallucination Rate,Hallucination Rate,Step Time Sec
bm25_v1+LLM,0.816,0.0,0.036636220957286074,1.3937778847012892,0.0593756516666243,0.27411175,2.342,0.388,0.534,1.42,0.15927142857142856,0.18963333333333332,0.5670952380952381,0.7567285714285714,1.007026551246643
dpr_v1+LLM,0.914,0.0,0.03745024417933884,1.4684698674530456,0.060059686739685855,0.2803141,2.494,0.388,0.572,1.534,0.1413,0.18586666666666668,0.5928333333333333,0.7787000000000001,1.018808175086975
hybrid_v1+LLM,0.93,0.0,0.03551098699046863,1.2166868663391062,0.05752085135664852,0.27966073,2.378,0.4,0.596,1.382,0.1621857142857143,0.1965142857142857,0.5393,0.7358142857142856,1.0354528765678406
