Retriever,Retrieval Hit@K,Exact Match,F1,BLEU,ROUGE-L,Semantic Similarity,Num Claims,Supported Claims,Unsupported Claims,Contradicted Claims,Faithfulness,Extrinsic Hallucination Rate,Intrinsic Hallucination Rate,Hallucination Rate,Step Time Sec
bm25_v1+LLM,0.45,0.0,0.10281698500838252,7.616701252365237,0.13958566485551321,0.38252258,2.6,0.3,1.15,1.15,0.14583333333333331,0.32999999999999996,0.5241666666666667,0.8541666666666666,1.2151501297950744
dpr_v1+LLM,0.95,0.0,0.07802797202797203,5.22417557061771,0.1261734324375834,0.40073863,2.25,0.4,0.65,1.2,0.17916666666666664,0.18333333333333332,0.5375,0.7208333333333333,0.9384721636772155
hybrid_v1+LLM,0.9,0.0,0.10342109148712922,7.844136782903067,0.13989972306112772,0.42321867,2.15,0.8,0.6,0.75,0.4225,0.3208333333333333,0.25666666666666665,0.5775,0.9859928250312805
